pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
AEKA11758,9,0,1989,G.MADE GOWDA,Karnataka,MANDYA,INC,"",337024,M,1,1,1,FALSE,FALSE,47.72,74889,10.6,,1,1
AEKA11867,9,0,1989,THONTADARYA,Karnataka,MYSORE,BJP,"",25398,M,4,1,0,FALSE,FALSE,3.67,18385,2.66,,,1
AEKA11963,9,0,1989,V.DHANAJAYA KUMAR,Karnataka,MANGALORE,BJP,"",184575,M,2,1,0,FALSE,FALSE,29.53,51042,8.17,,,1
AEKA12031,9,0,1989,M.ANANDA RAO,Karnataka,SHIMOGA,BJP,"",108241,M,3,1,0,FALSE,FALSE,15.59,13526,1.95,,,1
AEKA12859,9,0,1989,V.KRISHNA RAO,Karnataka,CHIKBALLAPUR,INC,INC,367638,M,1,2,2,FALSE,TRUE,52.74,136888,19.64,,2,2
AEKA12859,8,0,1984,V. KRISHNA RAO,Karnataka,CHIKBALLAPUR,INC,"",282279,M,1,2,2,FALSE,FALSE,51.8,44314,8.13,,2,2
AEKA13721,9,0,1989,NAZEER AHMED SIDSIDDIQUI,Karnataka,RAICHUR,JD,"",139143,M,2,1,0,FALSE,FALSE,28.01,70569,14.21,,,1
AEKA13854,9,0,1989,D.T.MAYANNA,Karnataka,TUMKUR,JD,"",109673,M,3,1,0,FALSE,FALSE,16.27,105369,15.63,,,1
AEKA14325,9,0,1989,D.K.NAIKAR,Karnataka,DHARWAD NORTH,INC,INC,276545,M,1,3,3,FALSE,TRUE,45.61,55548,9.16,,3,3
AEKA14325,8,0,1984,NAIKAR DYAMAPPA KALLAPPA,Karnataka,DHARWAD NORTH,INC,INC(I),229865,M,1,3,3,FALSE,TRUE,52.31,44851,10.21,,3,3
AEKA14325,7,0,1980,D.K. NAIKAR,Karnataka,DHARWAD NORTH,INC(I),"",208269,M,1,3,3,FALSE,FALSE,58.19,96694,27.01,,3,3
AEKA5808,9,0,1989,ANANT NAG,Karnataka,KANARA,JD,"",209003,M,2,1,0,FALSE,FALSE,33.03,128437,20.3,,,1
AEKA6978,9,0,1989,H.N.NANJEGOWDA,Karnataka,HASSAN,JNP (JP),INC,214131,M,2,3,2,TRUE,TRUE,28.75,104010,13.97,,2,3
AEKA6978,8,0,1984,H. N. NANJEGOWDA,Karnataka,HASSAN,INC,INC(I),265488,M,1,3,2,FALSE,TRUE,49.52,31969,5.96,,2,3
AEKA6978,7,0,1980,H.N. NANJEGOWDA,Karnataka,HASSAN,INC(I),"",219969,M,1,3,2,FALSE,FALSE,49.2,94748,21.19,,2,3
AEKA7403,9,0,1989,SIDNAL SHANMUKAPPA BASSAPPA,Karnataka,BELGAUM,INC,INC,210329,M,1,3,3,FALSE,TRUE,32.5,23048,3.56,,3,3
AEKA7403,8,0,1984,SIDNAL SHANMUKHAPPA BASAPPA,Karnataka,BELGAUM,INC,INC(I),202506,M,1,3,3,FALSE,TRUE,42.66,35540,7.49,,3,3
AEKA7403,7,0,1980,SIDNAL SHANMUKHAPPA BASAPPA,Karnataka,BELGAUM,INC(I),"",217527,M,1,3,3,FALSE,FALSE,52.29,141197,33.94,,3,3
AEKA8028,9,0,1989,G.S.BASAVARAJ,Karnataka,TUMKUR,INC,INC,376878,M,1,2,2,FALSE,TRUE,55.91,199138,29.54,,2,2
