pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
AEKA14578,3,0,1962,K. V. SUBRAMANYASWAMY,Mysore,TUMKUR,JS,"",16543,M,4,2,0,FALSE,FALSE,6.57,0,0,,,1
AEKA14578,3,1,1965,K.V.SUBRAMANYASWAMY,Mysore,TUMKUR,IND,JS,7520,M,2,2,0,FALSE,FALSE,9.29,388,0.48,,,1
AERJ1046,3,0,1962,TRILOK SINGH,Rajasthan,SIKAR,CPI,"",53123,M,3,1,0,FALSE,FALSE,20.9,34167,13.44,,,1
AERJ2339,3,0,1962,ONKAR LAL,Rajasthan,KOTAH,INC,"",82716,M,2,1,0,FALSE,FALSE,40.52,57700,28.26,,,1
GEAP100042,3,0,1962,BAYYA SURYANARAYANA MURTHY,Andhra_Pradesh,AMALAPRUAM,INC,"",151439,M,1,1,1,FALSE,FALSE,46.49,12570,3.86,,1,1
GEAP15957,3,0,1962,MADDI PATTABHIRAMA REDDY,Andhra_Pradesh,VISAKHAPATNAM,SWA,"",68281,M,2,1,0,FALSE,FALSE,29.99,0,0,,,1
GEAP15958,3,0,1962,VIJAYA ANANADA,Andhra_Pradesh,VISAKHAPATNAM,INC,"",159423,M,1,1,1,FALSE,FALSE,70.01,91142,40.03,,1,1
GEAP15964,3,0,1962,MISSULA SURYANARAYANAMURTHY,Andhra_Pradesh,ANAKAPALLI,INC,"",96895,M,1,1,1,FALSE,FALSE,37.95,16010,6.27,,1,1
GEAP15965,3,0,1962,VILLURI VENKATARAMANA,Andhra_Pradesh,ANAKAPALLI,SWA,"",80885,M,2,1,0,FALSE,FALSE,31.68,3358,1.32,,,1
GEAP15966,3,0,1962,JAYANTHY VENKATACHALA KAMESWARA VALLABHARAO,Andhra_Pradesh,ANAKAPALLI,CPI,"",77527,M,3,1,0,FALSE,FALSE,30.37,0,0,,,1
