pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
AEKA11243,13,0,1999,Iqbal Ahemed Saradgi,Karnataka,GULBARGA,INC,"",352359,M,1,1,1,FALSE,FALSE,47.6,69837,9.43,,1,1
AEKA11297,13,0,1999,Abdul Samad Siddiq,Karnataka,RAICHUR,JD(U),LS,187740,M,2,2,0,TRUE,FALSE,27.35,123896,18.05,,,2
AEKA11297,12,0,1998,ABDUL SAMAD SIDDIQUI,Karnataka,RAICHUR,LS,"",117999,M,3,2,0,FALSE,FALSE,20.05,108640,18.46,,,2
AEKA11375,13,0,1999,K.Mallappa,Karnataka,DAVANGERE,JD(S),"",64705,M,3,1,0,FALSE,FALSE,7.61,61001,7.18,,,1
AEKA11955,13,0,1999,Lokeswari Vinayachandra,Karnataka,MANGALORE,JD(S),"",20980,F,3,1,0,FALSE,FALSE,2.92,0,0,,,1
AEKA11963,13,0,1999,V.Dhananjaya Kumar,Karnataka,MANGALORE,BJP,BJP,353536,M,1,5,4,FALSE,TRUE,49.13,8469,1.18,,4,5
AEKA11963,12,0,1998,V.DHANANJAYA KUMAR,Karnataka,MANGALORE,BJP,BJP,341362,M,1,5,4,FALSE,TRUE,48.15,6907,0.97,,4,5
AEKA11963,11,0,1996,V DHANANJAYA KUMAR,Karnataka,MANGALORE,BJP,BJP,250765,M,1,5,4,FALSE,TRUE,36.72,14499,2.12,,4,5
AEKA11963,10,0,1991,V. DHANANJAYA KUMAR,Karnataka,MANGALORE,BJP,BJP,274700,M,1,5,4,FALSE,FALSE,49.81,35005,6.35,,4,5
AEKA11963,9,0,1989,V.DHANAJAYA KUMAR,Karnataka,MANGALORE,BJP,"",184575,M,2,5,4,FALSE,FALSE,29.53,51042,8.17,,4,5
AEKA1296,13,0,1999,A. Venkatesh Naik,Karnataka,RAICHUR,INC,INC,359946,M,1,4,3,FALSE,TRUE,52.44,172206,25.09,,3,4
AEKA1296,12,0,1998,A.VENKATESH NAIK,Karnataka,RAICHUR,INC,INC,264187,M,1,4,3,FALSE,FALSE,44.89,78278,13.3,,3,4
AEKA1296,11,0,1996,A VENKATESH NAIK,Karnataka,RAICHUR,INC,INC,178515,M,2,4,3,FALSE,TRUE,37.13,106022,22.05,,3,4
AEKA1296,10,0,1991,VENKATESH NAIK,Karnataka,RAICHUR,INC,"",194709,M,1,4,3,FALSE,FALSE,51.66,122458,32.49,,3,4
AEKA16393,13,1,2000,Kolur Basavanagoud,Karnataka,BELLARY,INC,"",259851,M,1,1,1,FALSE,FALSE,53.05,96020,19.6,,1,1
AEKA16394,13,1,2000,Thippeswamy,Karnataka,BELLARY,JD(S),"",35291,M,3,1,0,FALSE,FALSE,7.21,12452,2.54,,,1
AEKA16395,13,1,2000,Mundrigi Nagaraj,Karnataka,BELLARY,BSP,"",22839,M,4,1,0,FALSE,FALSE,4.66,17607,3.59,,,1
AEKA16396,13,1,2000,K.S. Veerabhadrappa,Karnataka,BELLARY,BJP,"",163831,M,2,1,0,FALSE,FALSE,33.45,128540,26.24,,,1
AEKA16414,13,1,2002,D.K.SHIVAKUMAR,Karnataka,KANAKAPURA,INC,"",529133,M,2,1,0,FALSE,FALSE,37.64,300999,21.41,,,1
