pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
AEKA11243,14,0,2004,IQBAL AHMED SARADGI,Karnataka,GULBARGA,INC,INC,312601,M,1,2,2,FALSE,TRUE,37.76,57471,6.94,59,2,2
AEKA11243,13,0,1999,Iqbal Ahemed Saradgi,Karnataka,GULBARGA,INC,"",352359,M,1,2,2,FALSE,FALSE,47.6,69837,9.43,,2,2
AEKA1296,14,0,2004,A.VENKATESH NAIK,Karnataka,RAICHUR,INC,INC,289424,M,1,5,4,FALSE,TRUE,35.08,508,0.06,66,4,5
AEKA1296,13,0,1999,A. Venkatesh Naik,Karnataka,RAICHUR,INC,INC,359946,M,1,5,4,FALSE,TRUE,52.44,172206,25.09,,4,5
AEKA1296,12,0,1998,A.VENKATESH NAIK,Karnataka,RAICHUR,INC,INC,264187,M,1,5,4,FALSE,FALSE,44.89,78278,13.3,,4,5
AEKA1296,11,0,1996,A VENKATESH NAIK,Karnataka,RAICHUR,INC,INC,178515,M,2,5,4,FALSE,TRUE,37.13,106022,22.05,,4,5
AEKA1296,10,0,1991,VENKATESH NAIK,Karnataka,RAICHUR,INC,"",194709,M,1,5,4,FALSE,FALSE,51.66,122458,32.49,,4,5
AEKA16461,14,1,2004,Chandrakanth Gaddgi,Karnataka,BIDAR,BSP,"",36013,"",4,1,0,FALSE,FALSE,5.89,28123,4.6,,,1
AEKA16463,14,1,2004,Basawraj Ramchandra Veerappa,Karnataka,BIDAR,BJP,"",183447,"",2,1,0,FALSE,FALSE,29.99,16319,2.67,,,1
AEKA16465,14,1,2004,Ganapathrao Kamle,Karnataka,BIDAR,AIFB,"",7054,"",6,1,0,FALSE,FALSE,1.15,1354,0.22,,,1
AEKA16542,14,1,2005,Ayanur Manjunatha,Karnataka,SHIMOGA,INC,"",252376,M,2,1,0,FALSE,FALSE,33.77,103736,13.88,,,1
AEKA16543,14,1,2005,Bhanuprakash,Karnataka,SHIMOGA,BJP,"",148640,M,3,1,0,FALSE,FALSE,19.89,94062,12.59,,,1
