pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
AEKA10836,12,0,1998,BOBATI UDACHAPPA KHEERAPPA,Karnataka,KANARA,JD,KRS,36558,M,3,2,0,TRUE,FALSE,5.11,9536,1.33,,,2
AEKA10836,10,0,1991,BOBATI UDACHAPPA KHEERAPPA,Karnataka,KANARA,KRS,"",45515,M,4,2,0,FALSE,FALSE,9.43,0,0,,,2
AEKA11069,12,0,1998,CHAUGULE SHAKUNTALA TUKARAM,Karnataka,CHIKKODI,JD,"",76165,F,3,1,0,FALSE,FALSE,11.22,70868,10.44,,,1
AEKA11297,12,0,1998,ABDUL SAMAD SIDDIQUI,Karnataka,RAICHUR,LS,"",117999,M,3,1,0,FALSE,FALSE,20.05,108640,18.46,,,1
AEKA1134,12,0,1998,QAMARUL ISLAM,Karnataka,GULBARGA,JD,JD,197184,M,2,2,1,FALSE,TRUE,26.8,56271,7.65,,1,2
AEKA1134,11,0,1996,QAMARUL ISLAM,Karnataka,GULBARGA,JD,"",203521,M,1,2,1,FALSE,FALSE,35.9,15545,2.74,,1,2
AEKA11758,12,0,1998,G.MADE GOWDA,Karnataka,MANDYA,INC,INC,250916,M,2,4,2,FALSE,FALSE,31.97,148457,18.92,,2,4
AEKA11758,11,0,1996,G MADEGOWDA,Karnataka,MANDYA,INC,INC,302466,M,2,4,2,FALSE,TRUE,41.4,231643,31.7,,2,4
AEKA11758,10,0,1991,G. MADEGOWDA,Karnataka,MANDYA,INC,INC,259500,M,1,4,2,FALSE,TRUE,42.48,95347,15.61,,2,4
AEKA11758,9,0,1989,G.MADE GOWDA,Karnataka,MANDYA,INC,"",337024,M,1,4,2,FALSE,FALSE,47.72,74889,10.6,,2,4
AEKA11963,12,0,1998,V.DHANANJAYA KUMAR,Karnataka,MANGALORE,BJP,BJP,341362,M,1,4,3,FALSE,TRUE,48.15,6907,0.97,,3,4
AEKA11963,11,0,1996,V DHANANJAYA KUMAR,Karnataka,MANGALORE,BJP,BJP,250765,M,1,4,3,FALSE,TRUE,36.72,14499,2.12,,3,4
AEKA11963,10,0,1991,V. DHANANJAYA KUMAR,Karnataka,MANGALORE,BJP,BJP,274700,M,1,4,3,FALSE,FALSE,49.81,35005,6.35,,3,4
AEKA11963,9,0,1989,V.DHANAJAYA KUMAR,Karnataka,MANGALORE,BJP,"",184575,M,2,4,3,FALSE,FALSE,29.53,51042,8.17,,3,4
AEKA1296,12,0,1998,A.VENKATESH NAIK,Karnataka,RAICHUR,INC,INC,264187,M,1,3,2,FALSE,FALSE,44.89,78278,13.3,,2,3
AEKA1296,11,0,1996,A VENKATESH NAIK,Karnataka,RAICHUR,INC,INC,178515,M,2,3,2,FALSE,TRUE,37.13,106022,22.05,,2,3
AEKA1296,10,0,1991,VENKATESH NAIK,Karnataka,RAICHUR,INC,"",194709,M,1,3,2,FALSE,FALSE,51.66,122458,32.49,,2,3
