pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
AEKA5806,4,1,1968,S.M.KRISHNA,Mysore,MANDYA,PSP,"",184054,M,1,1,1,FALSE,FALSE,59.85,63953,20.79,,1,1
AEKA9997,4,0,1967,K. LAKKAPPA,Mysore,TUMKUR,PSP,"",115312,M,1,1,1,FALSE,FALSE,42.9,261,0.1,,1,1
AERJ1046,4,0,1967,T. SINGH,Rajasthan,SIKAR,CPM,CPI,70659,M,3,2,0,TRUE,FALSE,19.38,58724,16.1,,,2
AERJ1046,3,0,1962,TRILOK SINGH,Rajasthan,SIKAR,CPI,"",53123,M,3,2,0,FALSE,FALSE,20.9,34167,13.44,,,2
AERJ1515,4,0,1967,B. N. SHARMA,Rajasthan,CHITORGARH,BJS,"",82720,M,2,1,0,FALSE,FALSE,32.34,41931,16.39,,,1
AERJ2339,4,0,1967,ONKARLAL,Rajasthan,KOTA,INC,INC,125375,M,2,2,0,FALSE,FALSE,45.32,0,0,,,2
AERJ2339,3,0,1962,ONKAR LAL,Rajasthan,KOTAH,INC,"",82716,M,2,2,0,FALSE,FALSE,40.52,57700,28.26,,,2
GEAN17961,4,0,1967,K. R. GANESH,Andaman_&_Nicobar_Islands,ANDAMAN NICOBAR,INC,"",19310,M,1,1,1,FALSE,FALSE,52.57,10040,27.33,,1,1
GEAN17963,4,0,1967,P. K. S. PRASAD,Andaman_&_Nicobar_Islands,ANDAMAN NICOBAR,IND,"",9270,M,2,1,0,FALSE,FALSE,25.24,4379,11.92,,,1
GEAN17964,4,0,1967,R. L. SAHA,Andaman_&_Nicobar_Islands,ANDAMAN NICOBAR,SWA,"",1717,M,4,1,0,FALSE,FALSE,4.67,326,0.89,,,1
