pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
GEPB29593,7,0,1980,SARAR SARUP SINGH,Punjab,JULLUNDUR,JNP,"",142065,M,2,1,0,FALSE,FALSE,33.39,112225,26.38,,,1
GEPB29598,7,0,1980,HARI KISAN BHATTI,Punjab,JULLUNDUR,JNP(S),"",29840,M,3,1,0,FALSE,FALSE,7.01,14652,3.44,,,1
GEPB29609,7,0,1980,RAM SARAN DASS KOMAL,Punjab,PHILLAUR,JNP,"",70518,M,3,1,0,FALSE,FALSE,15.14,62841,13.49,,,1
GEPB29612,7,0,1980,ZAIL SINGH,Punjab,HOSHIARPUR,INC(I),"",223976,M,1,1,1,FALSE,FALSE,48.72,125186,27.23,,1,1
GEPB29617,7,0,1980,YAGYA DATT,Punjab,HOSHIARPUR,JNP,"",95660,M,3,1,0,FALSE,FALSE,20.81,71681,15.59,,,1
GEPB29623,7,0,1980,ANANT RAM BADHAN,Punjab,ROPAR,JNP,"",2448,M,7,1,0,FALSE,FALSE,0.47,312,0.06,,,1
GEPB29631,7,0,1980,GURUBAKHSH SINGH,Punjab,PATIALA,JNP,"",973,M,11,1,0,FALSE,FALSE,0.21,80,0.02,,,1
GEPB29633,7,0,1980,AJIT SINGH,Punjab,PATIALA,SAD,"",177254,M,2,1,0,FALSE,FALSE,38.77,170950,37.39,,,1
GEPB29672,7,0,1980,HAKAM SINGH,Punjab,BHATINDA,INC(I),"",165777,M,1,1,1,FALSE,FALSE,40.93,17009,4.2,,1,1
GEPB29675,7,0,1980,GURSEWAK SINGH,Punjab,BHATINDA,CPI,"",75994,M,3,1,0,FALSE,FALSE,18.76,70328,17.36,,,1
GEPY29563,7,0,1980,M.R. LAKSHMINARAYANAN,Puducherry,PONDICHERRY,JNP,INC,66025,M,2,3,2,TRUE,TRUE,26.66,48958,19.77,,2,3
