pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
GEUP12657,17,0,2019,RAKESH SACHAN,Uttar_Pradesh,FATEHPUR,INC,SP,66077,M,3,3,1,TRUE,FALSE,6.33,51385,4.92,63,1,3
GEUP12657,16,0,2014,RAKESH SACHAN,Uttar_Pradesh,FATEHPUR,SP,SP,179724,M,3,2,1,FALSE,TRUE,17.01,133136,12.6,58,1,3
GEUP12657,15,0,2009,RAKESH SACHAN,Uttar_Pradesh,FATEHPUR,SP,"",218953,M,1,1,1,FALSE,FALSE,31.53,52228,7.52,53,1,3
GEUP12675,17,0,2019,VINOD KUMAR SONKAR,Uttar_Pradesh,KAUSHAMBI,BJP,BJP,383009,M,1,2,2,FALSE,TRUE,38.56,38722,3.9,49,2,2
GEUP12675,16,0,2014,VINOD KUMAR SONKAR,Uttar_Pradesh,KAUSHAMBI,BJP,"",331724,M,1,1,1,FALSE,FALSE,36.44,42900,4.71,44,2,2
GEUP12933,17,0,2019,DADDAN MISHRA,Uttar_Pradesh,SHRAWASTI,BJP,BJP,436451,M,2,2,1,FALSE,TRUE,43.78,378409,37.95,52,1,2
GEUP12933,16,0,2014,DADDAN MISHRA,Uttar_Pradesh,SHRAWASTI,BJP,"",345964,M,1,1,1,FALSE,FALSE,35.32,85913,8.77,47,1,2
GEUP13027,17,0,2019,RAM PRASAD CHAUDHARY,Uttar_Pradesh,BASTI,BSP,BSP,440808,M,2,8,1,FALSE,FALSE,41.8,353888,33.56,65,1,8
GEUP13027,16,0,2014,RAM PRASAD CHAUDHARY,Uttar_Pradesh,BASTI,BSP,BJP,283747,M,3,7,1,TRUE,FALSE,27.06,256074,24.42,60,1,8
GEUP13027,14,0,2004,RAM PRASAD CHAUDHARY,Uttar_Pradesh,KHALILABAD,BJP,BSP,177417,M,3,6,1,TRUE,FALSE,25.32,132066,18.85,53,1,8
GEUP13027,13,0,1999,Ram Prasad Chaudhary,Uttar_Pradesh,KHALILABAD,BSP,BSP,206809,M,2,5,1,FALSE,FALSE,31.12,46427,6.99,,1,8
GEUP13027,12,0,1998,RAM PRASAD CHAUDHARI,Uttar_Pradesh,KHALILABAD,BSP,BSP,181202,M,3,4,1,FALSE,FALSE,28.37,164240,25.71,,1,8
GEUP13027,11,0,1996,RAM PRASHAD CHOUDHARY,Uttar_Pradesh,KHALILABAD,BSP,JD,153071,M,2,3,1,TRUE,FALSE,26.28,30378,5.21,,1,8
GEUP13027,9,0,1989,RAM PRASAD CHAUDHARY,Uttar_Pradesh,KHALILABAD,JD,LKD,188531,M,1,2,1,TRUE,FALSE,38.5,60299,12.31,,1,8
GEUP13027,8,0,1984,RAM PRASAD CHAUDHARI,Uttar_Pradesh,KHALILABAD,LKD,"",90719,M,2,1,0,FALSE,FALSE,19.89,15984,3.5,,1,8
GEUP13028,17,0,2019,HARISH CHANDRA ALIAS HARISH DWIVEDI,Uttar_Pradesh,BASTI,BJP,BJP,471162,M,1,2,2,FALSE,TRUE,44.68,30354,2.88,45,2,2
GEUP13028,16,0,2014,HARISH CHANDRA  ALIAS  HARISH DWIVEDI,Uttar_Pradesh,BASTI,BJP,"",357680,M,1,1,1,FALSE,FALSE,34.11,33562,3.2,40,2,2
