pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
1,17,0,2019,AYAN MANDAL,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,AITC,"",1721,M,6,1,0,FALSE,FALSE,0.83,309,0.15,30,,1
1009,17,0,2019,BIRESH THAKUR,Chhattisgarh,KANKER,INC,"",539319,M,2,1,0,FALSE,FALSE,46.53,512606,44.22,52,,1
1010,17,0,2019,MOHAN MANDAVI,Chhattisgarh,KANKER,BJP,"",546233,M,1,1,1,FALSE,FALSE,47.12,6914,0.6,61,1,1
1011,17,0,2019,SUBE SINGH DHURVA,Chhattisgarh,KANKER,BSP,"",10124,M,5,1,0,FALSE,FALSE,0.87,4021,0.35,47,,1
1012,17,0,2019,UMASHANKAR BHANDARI,Chhattisgarh,KANKER,SHS,"",3437,M,10,1,0,FALSE,FALSE,0.3,0,0,36,,1
1018,17,0,2019,Sheikh Khalid Jehangir,Jammu_&_Kashmir,SRINAGAR,BJP,"",4631,M,4,1,0,FALSE,FALSE,2.48,3001,1.61,,,1
102,17,0,2019,NALLURI VIJAYA SRINIVASA RAO,Andhra_Pradesh,RAJAHMUNDRY,INC,"",12725,M,5,1,0,FALSE,FALSE,1.02,391,0.03,55,,1
1023,17,0,2019,Abdul Khaliq Bhat,Jammu_&_Kashmir,SRINAGAR,SHS,"",578,M,12,1,0,FALSE,FALSE,0.31,72,0.04,40,,1
103,17,0,2019,PARAVASTU SATYA GOPINATH DAS,Andhra_Pradesh,RAJAHMUNDRY,BJP,"",12334,M,6,1,0,FALSE,FALSE,0.99,9465,0.76,48,,1
1032,17,0,2019,VIKRAMADITYA SINGH,Jammu_&_Kashmir,UDHAMPUR,INC,"",367059,M,2,1,0,FALSE,FALSE,31.1,342740,29.04,54,,1
1033,17,0,2019,TILAK RAJ BHAGAT,Jammu_&_Kashmir,UDHAMPUR,BSP,"",16601,M,5,1,0,FALSE,FALSE,1.41,9033,0.77,62,,1
104,17,0,2019,MAGANTI ROOPA,Andhra_Pradesh,RAJAHMUNDRY,TDP,"",460390,F,2,1,0,FALSE,FALSE,36.82,304583,24.36,45,,1
