pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
AEKA10205,6,0,1977,RAMAKRISHNA HEGDE,Karnataka,KANARA,BLD,"",161580,M,2,1,0,FALSE,FALSE,42.64,144878,38.23,,,1
AEKA11029,6,0,1977,KOTRASHETTI APPAYAPPA KARAVEERAPPA,Karnataka,BELGAUM,INC,INC,178331,M,1,2,2,FALSE,TRUE,55.95,64002,20.08,,2,2
AEKA11029,5,0,1971,KOTRASETTI APPAYA KARAVIRAPPA,Mysore,BELGAUM,INC,"",164979,M,1,2,2,FALSE,FALSE,61.53,77176,28.78,,2,2
AEKA14553,6,1,1978,V.PATIL,Karnataka,CHICKMAGALUR,JNP,"",172043,"",2,1,0,FALSE,FALSE,38.44,168267,37.6,,,1
AEKA7247,6,0,1977,J. H. PATEL,Karnataka,SHIMOGA,BLD,"",161229,M,2,1,0,FALSE,FALSE,40.58,0,0,,,1
AEKA84297,6,0,1977,C. M. STEPHEN,Kerala,IDUKKI,INC,INC,228035,M,1,2,2,FALSE,TRUE,54.84,79257,19.06,,2,2
AEKA84297,5,0,1971,C. M. STEPHEN,Kerala,MUVATTPUZHA,INC,"",178244,M,1,2,2,FALSE,FALSE,55.99,38137,11.98,,2,2
AEKA8521,6,0,1977,Y. RAMAKRISHNA,Karnataka,KOLAR,BLD,"",123274,M,2,1,0,FALSE,FALSE,35.07,110893,31.55,,,1
AEKA8879,6,0,1977,V. S. ACHARYA,Karnataka,UDUPI,BLD,"",121326,M,2,1,0,FALSE,FALSE,33.21,103532,28.34,,,1
AEKA9997,6,0,1977,K. LAKKAPPA,Karnataka,TUMKUR,INC,INC,237086,M,1,3,3,FALSE,TRUE,57.65,66817,16.25,,3,3
AEKA9997,5,0,1971,K. LAKKAPPA,Mysore,TUMKUR,INC,PSP,240718,M,1,3,3,TRUE,TRUE,74.48,161779,50.05,,3,3
