pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
AEKA11758,10,0,1991,G. MADEGOWDA,Karnataka,MANDYA,INC,INC,259500,M,1,2,2,FALSE,TRUE,42.48,95347,15.61,,2,2
AEKA11758,9,0,1989,G.MADE GOWDA,Karnataka,MANDYA,INC,"",337024,M,1,2,2,FALSE,FALSE,47.72,74889,10.6,,2,2
AEKA11963,10,0,1991,V. DHANANJAYA KUMAR,Karnataka,MANGALORE,BJP,BJP,274700,M,1,2,1,FALSE,FALSE,49.81,35005,6.35,,1,2
AEKA11963,9,0,1989,V.DHANAJAYA KUMAR,Karnataka,MANGALORE,BJP,"",184575,M,2,2,1,FALSE,FALSE,29.53,51042,8.17,,1,2
AEKA12859,10,0,1991,V. KRISHNA RAO,Karnataka,CHIKBALLAPUR,INC,INC,309614,M,1,3,3,FALSE,TRUE,47.42,103371,15.83,,3,3
AEKA12859,9,0,1989,V.KRISHNA RAO,Karnataka,CHIKBALLAPUR,INC,INC,367638,M,1,3,3,FALSE,TRUE,52.74,136888,19.64,,3,3
AEKA12859,8,0,1984,V. KRISHNA RAO,Karnataka,CHIKBALLAPUR,INC,"",282279,M,1,3,3,FALSE,FALSE,51.8,44314,8.13,,3,3
AEKA1296,10,0,1991,VENKATESH NAIK,Karnataka,RAICHUR,INC,"",194709,M,1,1,1,FALSE,FALSE,51.66,122458,32.49,,1,1
AEKA13365,10,0,1991,K.G. SHIVAPPA,Karnataka,SHIMOGA,INC,"",281182,M,1,1,1,FALSE,FALSE,45.91,40703,6.65,,1,1
AEKA13721,10,0,1991,NAZEER AHMED SIDDIQUI,Karnataka,RAICHUR,JD,JD,72251,M,2,2,0,FALSE,FALSE,19.17,5730,1.52,,,2
AEKA13721,9,0,1989,NAZEER AHMED SIDSIDDIQUI,Karnataka,RAICHUR,JD,"",139143,M,2,2,0,FALSE,FALSE,28.01,70569,14.21,,,2
AEKA14325,10,0,1991,D.K. NAIKAR,Karnataka,DHARWAD NORTH,INC,INC,157682,M,1,4,4,FALSE,TRUE,33.26,21791,4.6,,4,4
AEKA14325,9,0,1989,D.K.NAIKAR,Karnataka,DHARWAD NORTH,INC,INC,276545,M,1,4,4,FALSE,TRUE,45.61,55548,9.16,,4,4
AEKA14325,8,0,1984,NAIKAR DYAMAPPA KALLAPPA,Karnataka,DHARWAD NORTH,INC,INC(I),229865,M,1,4,4,FALSE,TRUE,52.31,44851,10.21,,4,4
AEKA14325,7,0,1980,D.K. NAIKAR,Karnataka,DHARWAD NORTH,INC(I),"",208269,M,1,4,4,FALSE,FALSE,58.19,96694,27.01,,4,4
AEKA1538,10,0,1991,DESHPANDE RAGHUNATH VISHWANATHARAO,Karnataka,KANARA,JD,JNP,124123,M,3,2,0,TRUE,FALSE,25.72,78608,16.29,,,2
AEKA1538,7,0,1980,DESHPANDE RAGHUNATH VISHWANATHRAO,Karnataka,KANARA,JNP,"",123731,M,2,2,0,FALSE,FALSE,29.83,77182,18.61,,,2
AEKA19317,10,0,1991,P.G.R. SINDHIA,Karnataka,KANAKAPURA,JD,JNP,207376,M,3,2,0,TRUE,FALSE,26.16,202867,25.59,,,2
AEKA19317,8,0,1984,P. G. R. SINDHIYA,Karnataka,KANAKAPURA,JNP,"",298184,M,2,2,0,FALSE,FALSE,46.68,280881,43.98,,,2
AEKA2060,10,0,1991,B.S. YEDIYURAPPA,Karnataka,SHIMOGA,BJP,"",240479,M,2,1,0,FALSE,FALSE,39.27,176505,28.82,,,1
AEKA2224,10,0,1991,D. NAGARAJAIAH,Karnataka,TUMKUR,JP,"",73587,M,3,1,0,FALSE,FALSE,12.48,65422,11.1,,,1
AEKA3440,10,0,1991,SIDDARAMAIAH,Karnataka,KOPPAL,JD,"",229979,M,2,1,0,FALSE,FALSE,41.96,181309,33.08,,,1
AEKA455,10,0,1991,PUJAR PRALHAD HANAMANTAPPA,Karnataka,BAGALKOT,BJP,"",33681,M,3,1,0,FALSE,FALSE,5.66,18443,3.1,,,1
AEKA5327,10,0,1991,VAIJANATH PATIL,Karnataka,GULBARGA,JP,JNP,89760,M,3,2,0,FALSE,FALSE,21.63,83763,20.19,,,2
AEKA5327,7,0,1980,VAIJNATH PATIL,Karnataka,GULBARGA,JNP,"",56422,M,2,2,0,FALSE,FALSE,18.18,7463,2.4,,,2
AEKA6176,10,0,1991,U.R. SABHAPATHI,Karnataka,UDUPI,JD,"",104071,M,3,1,0,FALSE,FALSE,21.3,101739,20.82,,,1
AEKA7154,10,0,1991,CHANDRAPRABHA URS (W),Karnataka,MYSORE,INC,"",225881,F,1,1,1,FALSE,FALSE,39.47,16882,2.95,,1,1
AEKA7196,10,0,1991,A. RUKMAYYA POOJARY,Karnataka,UDUPI,BJP,"",146308,M,2,1,0,FALSE,FALSE,29.94,42237,8.64,,,1
AEKA7403,10,0,1991,SIDNAL SHANMUKHAPPA BASAPPA,Karnataka,BELGAUM,INC,INC,161391,M,1,4,4,FALSE,TRUE,31.02,46109,8.86,,4,4
AEKA7403,9,0,1989,SIDNAL SHANMUKAPPA BASSAPPA,Karnataka,BELGAUM,INC,INC,210329,M,1,4,4,FALSE,TRUE,32.5,23048,3.56,,4,4
AEKA7403,8,0,1984,SIDNAL SHANMUKHAPPA BASAPPA,Karnataka,BELGAUM,INC,INC(I),202506,M,1,4,4,FALSE,TRUE,42.66,35540,7.49,,4,4
AEKA7403,7,0,1980,SIDNAL SHANMUKHAPPA BASAPPA,Karnataka,BELGAUM,INC(I),"",217527,M,1,4,4,FALSE,FALSE,52.29,141197,33.94,,4,4
AEKA8028,10,0,1991,G.S. BASAVARAJ,Karnataka,TUMKUR,INC,INC,236269,M,2,3,2,FALSE,TRUE,40.08,162682,27.6,,2,3
AEKA8028,9,0,1989,G.S.BASAVARAJ,Karnataka,TUMKUR,INC,INC,376878,M,1,3,2,FALSE,TRUE,55.91,199138,29.54,,2,3
AEKA8028,8,0,1984,G. S. BASAVARAJU,Karnataka,TUMKUR,INC,"",265249,M,1,3,2,FALSE,FALSE,51,30410,5.85,,2,3
AEKA8129,10,0,1991,V. HANUMAPPA,Karnataka,KOLAR,BJP,"",173525,M,2,1,0,FALSE,FALSE,29.53,21368,3.64,,,1
AEKA8658,10,0,1991,D. MADEGOWDA,Karnataka,MYSORE,JP,JNP (JP),117471,M,3,2,0,TRUE,FALSE,20.53,109860,19.2,,,2
AEKA8658,9,0,1989,D.MANDEGOWDA,Karnataka,MYSORE,JNP (JP),"",135524,M,2,2,0,FALSE,FALSE,19.6,3619,0.52,,,2
AEKA8934,10,0,1991,D.C. SRIKANTAPPA,Karnataka,CHIKMAGALUR,BJP,"",185437,M,2,1,0,FALSE,FALSE,36.5,87710,17.26,,,1
AERJ11417,10,0,1991,FATEH SINGH MEHTA,Rajasthan,UDAIPUR,JD,"",6608,M,3,1,0,FALSE,FALSE,1.23,3909,0.73,,,1
