pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
AEKA11029,5,0,1971,KOTRASETTI APPAYA KARAVIRAPPA,Mysore,BELGAUM,INC,"",164979,M,1,1,1,FALSE,FALSE,61.53,77176,28.78,,1,1
AEKA5806,5,0,1971,S. M. KRISHNA,Mysore,MANDYA,INC,PSP,272174,M,1,2,2,TRUE,TRUE,71.22,162162,42.43,,2,2
AEKA5806,4,1,1968,S.M.KRISHNA,Mysore,MANDYA,PSP,"",184054,M,1,2,2,FALSE,FALSE,59.85,63953,20.79,,2,2
AEKA84297,5,0,1971,C. M. STEPHEN,Kerala,MUVATTPUZHA,INC,"",178244,M,1,1,1,FALSE,FALSE,55.99,38137,11.98,,1,1
AEKA9997,5,0,1971,K. LAKKAPPA,Mysore,TUMKUR,INC,PSP,240718,M,1,2,2,TRUE,TRUE,74.48,161779,50.05,,2,2
AEKA9997,4,0,1967,K. LAKKAPPA,Mysore,TUMKUR,PSP,"",115312,M,1,2,2,FALSE,FALSE,42.9,261,0.1,,2,2
AERJ1046,5,0,1971,TRILOK SINGH,Rajasthan,SIKAR,CPM,CPM,24101,M,4,3,0,FALSE,FALSE,6.34,17683,4.65,,,3
AERJ1046,4,0,1967,T. SINGH,Rajasthan,SIKAR,CPM,CPI,70659,M,3,3,0,TRUE,FALSE,19.38,58724,16.1,,,3
AERJ1046,3,0,1962,TRILOK SINGH,Rajasthan,SIKAR,CPI,"",53123,M,3,3,0,FALSE,FALSE,20.9,34167,13.44,,,3
AERJ181,5,0,1971,RAM KARAN JOSHI,Rajasthan,DAUSA,BKD,"",26234,M,3,1,0,FALSE,FALSE,9.5,18962,6.87,,,1
AERJ453,5,0,1971,DHANNA LAL,Rajasthan,KOTA,INC,"",122884,M,2,1,0,FALSE,FALSE,43.19,117380,41.26,,,1
AERJ9885,5,0,1971,BHAIRON SINGH SHEKHAWAT,Rajasthan,BARMER,BJS,"",116032,M,2,1,0,FALSE,FALSE,39.24,109203,36.93,,,1
GEAN17961,5,0,1971,K .R. GANESH,Andaman_&_Nicobar_Islands,A AND N ISLANDS,INC,INC,27373,M,1,2,2,FALSE,TRUE,61.48,17333,38.93,,2,2
GEAN17961,4,0,1967,K. R. GANESH,Andaman_&_Nicobar_Islands,ANDAMAN NICOBAR,INC,"",19310,M,1,2,2,FALSE,FALSE,52.57,10040,27.33,,2,2
GEAN20528,5,0,1971,P. K. S. PRASAD,Andaman_&_Nicobar_Islands,A AND N ISLANDS,IND,"",10040,M,2,1,0,FALSE,FALSE,22.55,5220,11.72,,,1
GEAP100042,5,0,1971,B. S. MURTHY,Andhra_Pradesh,AMALAPURAM,INC,INC,301405,M,1,3,3,FALSE,TRUE,82.13,257559,70.18,,3,3
GEAP100042,4,0,1967,S. BAYYA,Andhra_Pradesh,AMALAPURAM,INC,INC,141722,M,1,3,3,FALSE,TRUE,41.26,63266,18.42,,3,3
GEAP100042,3,0,1962,BAYYA SURYANARAYANA MURTHY,Andhra_Pradesh,AMALAPRUAM,INC,"",151439,M,1,3,3,FALSE,FALSE,46.49,12570,3.86,,3,3
GEAP15965,5,0,1971,V. V. RAMANA,Andhra_Pradesh,ANAKAPALLI,SWA,SWA,69115,M,2,3,0,FALSE,FALSE,22.18,53646,17.22,,,3
GEAP15965,4,0,1967,V.V. RAMANA,Andhra_Pradesh,ANAKAPALLI,SWA,SWA,162097,M,2,3,0,FALSE,FALSE,44.42,124426,34.1,,,3
GEAP15965,3,0,1962,VILLURI VENKATARAMANA,Andhra_Pradesh,ANAKAPALLI,SWA,"",80885,M,2,3,0,FALSE,FALSE,31.68,3358,1.32,,,3
GEAP16019,5,0,1971,RENDEKANTI VENKATA SUBBAIAH,Andhra_Pradesh,NANDYAL,INC,INC,225740,M,1,3,3,FALSE,TRUE,66.18,130456,38.25,,3,3
GEAP16019,4,0,1967,P. V.SUBBAIAH,Andhra_Pradesh,NANDYAL,INC,INC,262256,M,1,3,3,FALSE,TRUE,66.22,168825,42.63,,3,3
GEAP16019,3,0,1962,PENDEKANTI VENKATASUBBAIAH,Andhra_Pradesh,ADONI,INC,"",136513,M,1,3,3,FALSE,FALSE,56.88,33022,13.76,,3,3
GEAP16024,5,0,1971,YESODA REDDY,Andhra_Pradesh,RAJAMPET,NCO,INC,65735,F,2,2,1,TRUE,FALSE,19.69,53268,15.96,,1,2
GEAP16024,3,0,1962,YASODA REDDY,Andhra_Pradesh,KURNOOL,INC,"",121999,F,1,2,1,FALSE,FALSE,42.66,36914,12.91,,1,2
GEAP16026,5,0,1971,D. K. SATYA REDDY,Andhra_Pradesh,MAHBUBNAGAR,INC,IND,110459,M,2,2,0,FALSE,FALSE,41.74,88745,33.54,,,2
GEAP16026,3,0,1962,D.K. SATYA REDDY,Andhra_Pradesh,GADWAL,IND,"",100316,M,2,2,0,FALSE,FALSE,38.66,66521,25.63,,,2
GEAP16030,5,0,1971,C. V. SIDDAIAHMURTHY,Andhra_Pradesh,TIRUPATHI,SWA,SWA,76753,M,2,2,0,FALSE,FALSE,24.92,0,0,,,2
GEAP16030,3,0,1962,C.V. SIDDAIAH MURTHY,Andhra_Pradesh,TIRUPATHI,SWA,"",102491,M,2,2,0,FALSE,FALSE,46.16,0,0,,,2
GEAP16038,5,0,1971,YIESWARA REDDY,Andhra_Pradesh,CUDDAPAH,CPI,CPI,200713,M,1,3,3,FALSE,TRUE,60.26,93614,28.11,,3,3
GEAP16038,4,0,1967,Y.E. REDDY,Andhra_Pradesh,CUDDAPAH,CPI,CPI,191736,M,1,3,3,FALSE,TRUE,49.25,37719,9.69,,3,3
GEAP16038,3,0,1962,YEDDULA ESWARA REDDY,Andhra_Pradesh,CUDDAPAH,CPI,"",158877,M,1,3,3,FALSE,FALSE,44.02,20867,5.78,,3,3
GEAP16039,5,0,1971,VUTUKURU RAMI REDDY,Andhra_Pradesh,CUDDAPAH,NCO,INC,107099,M,2,2,0,TRUE,FALSE,32.16,89746,26.95,,,2
GEAP16039,3,0,1962,VUNTUKURU RAMI REDDY,Andhra_Pradesh,CUDDAPAH,INC,"",138010,M,2,2,0,FALSE,FALSE,38.23,89685,24.85,,,2
GEAP16203,5,0,1971,UDDARAJU RAMAN,Andhra_Pradesh,NARASAPUR,CPM,CPM,92601,M,2,3,0,FALSE,FALSE,23.56,86289,21.95,,,3
GEAP16203,4,0,1967,U. RAMAN,Andhra_Pradesh,NARASAPUR,CPM,CPI,148721,M,2,3,0,TRUE,FALSE,35.76,82788,19.91,,,3
GEAP16203,3,0,1962,UDDARAJU RAMAM,Andhra_Pradesh,NARASAPUR,CPI,"",167209,M,2,3,0,FALSE,FALSE,46,152823,42.05,,,3
GEAP16210,5,0,1971,ANKINEDU MAGANTI,Andhra_Pradesh,GUDIVADA,INC,INC,279225,M,1,3,3,FALSE,TRUE,70.9,210434,53.44,,3,3
GEAP16210,4,0,1967,M. ANKINEEDU,Andhra_Pradesh,GUDIVADA,INC,INC,139238,M,1,3,3,FALSE,TRUE,35.41,40198,10.22,,3,3
GEAP16210,3,0,1962,MANGANTI ANKINEEDU,Andhra_Pradesh,GUDIVADA,INC,"",186452,M,1,3,3,FALSE,FALSE,48.96,16734,4.39,,3,3
GEAP16225,5,0,1971,KOTHA RAGHURAMAIAH,Andhra_Pradesh,GUNTUR,INC,INC,260086,M,1,3,3,FALSE,TRUE,62.45,191018,45.87,,3,3
GEAP16225,4,0,1967,K. RAGHURAMAIAH,Andhra_Pradesh,GUNTUR,INC,INC,237225,M,1,3,3,FALSE,TRUE,59.29,117032,29.25,,3,3
GEAP16225,3,0,1962,KOTHA RAGHU RAMAIAH,Andhra_Pradesh,GUNTUR,INC,"",204533,M,1,3,3,FALSE,FALSE,57.52,99942,28.11,,3,3
GEAP16229,5,0,1971,GUJJULA YALAMANDA REDDY,Andhra_Pradesh,KAVALI,CPI,CPI,49085,M,3,2,1,FALSE,FALSE,14.94,40129,12.21,,1,2
GEAP16229,3,0,1962,GUJJULA YELLAMANDA REDDY,Andhra_Pradesh,MARKAPUR,CPI,"",146909,M,1,2,1,FALSE,FALSE,49.03,26827,8.95,,1,2
GEAP16664,5,0,1971,J. RAMESHWAR RAO,Andhra_Pradesh,MAHBUBNAGAR,TPS,INC,127949,M,1,3,3,TRUE,TRUE,48.35,17490,6.61,,3,3
GEAP16664,4,0,1967,J. R. RAO,Andhra_Pradesh,MAHBUBNAGAR,INC,INC,177320,M,1,3,3,FALSE,TRUE,58.92,89817,29.85,,3,3
GEAP16664,3,0,1962,JANUMPALLY RAMESHWAR RAO,Andhra_Pradesh,GADWAL,INC,"",116150,M,1,3,3,FALSE,FALSE,44.76,15834,6.1,,3,3
GEAP16669,5,0,1971,M. R. KRISHNA,Andhra_Pradesh,PEDDAPALLI,INC,INC,56323,M,2,3,2,FALSE,TRUE,22.68,43293,17.43,,2,3
GEAP16669,4,0,1967,M.R. KRISHNA,Andhra_Pradesh,PEDDAPALLI,INC,INC,155550,M,1,3,2,FALSE,TRUE,51.66,72195,23.98,,2,3
GEAP16669,3,0,1962,M.R. KRISHNA,Andhra_Pradesh,PADAPALLI,INC,"",149561,M,1,3,2,FALSE,FALSE,69.53,84021,39.06,,2,3
GEAP16678,5,0,1971,T. LAKSHMI KANTAMMA,Andhra_Pradesh,KHAMMAM,INC,INC,137830,F,1,3,3,FALSE,TRUE,36.94,16461,4.41,,3,3
GEAP16678,4,0,1967,T. LAKSHMIKANTAMMA,Andhra_Pradesh,KHAMMAM,INC,INC,200534,F,1,3,3,FALSE,TRUE,53.12,111328,29.49,,3,3
GEAP16678,3,0,1962,T. LAKSHIKANTAMMA,Andhra_Pradesh,KHAMMAM,INC,"",163806,F,1,3,3,FALSE,FALSE,49.78,12060,3.66,,3,3
GEAP17942,5,0,1971,KARRI NARAYANA RAO,Andhra_Pradesh,BOBBILI,INC,INC,223043,M,1,3,2,FALSE,TRUE,84.51,182169,69.03,,2,3
GEAP17942,4,0,1967,K.N. RAO,Andhra_Pradesh,BOBBILI,INC,SWA,146553,M,1,3,2,TRUE,FALSE,44.29,75197,22.73,,2,3
GEAP17942,3,0,1962,KERRI NARAYANARAO,Andhra_Pradesh,CHEEPURUPALLI,SWA,"",110351,M,2,3,2,FALSE,FALSE,42.43,95911,36.87,,2,3
GEAP17982,5,0,1971,B. RADHABAI ANANDA RAO,Andhra_Pradesh,BHADRACHALAM,INC,INC,115367,F,1,2,2,FALSE,TRUE,58.54,68048,34.53,,2,2
GEAP17982,4,0,1967,B.K. RADHABAI,Andhra_Pradesh,BHADRACHALAM,INC,"",121630,F,1,2,2,FALSE,FALSE,51.96,67235,28.72,,2,2
GEAP18018,5,0,1971,TENNETI VISWANATHAM,Andhra_Pradesh,VISAKHAPATNAM,IND,IND,117276,M,2,2,1,FALSE,TRUE,36.64,98931,30.91,,1,2
GEAP18018,4,0,1967,T. VISWANATHAM,Andhra_Pradesh,VISAKHAPATNAM,IND,"",136766,M,1,2,1,FALSE,FALSE,42.04,34073,10.47,,1,2
GEAP18029,5,0,1971,D. S. RAJU,Andhra_Pradesh,RAJAHMUNDRY,NCO,INC,29397,M,4,3,2,TRUE,TRUE,7.59,27145,7.01,,2,3
GEAP18029,4,0,1967,D.S. RAJU,Andhra_Pradesh,RAJAHMUNDRY,INC,INC,227154,M,1,3,2,FALSE,TRUE,57.32,134913,34.04,,2,3
GEAP18029,3,0,1962,DATLA SATYANARAYANA RAJU,Andhra_Pradesh,RAJAHMUNDRY,INC,"",175602,M,1,3,2,FALSE,FALSE,55.14,123374,38.74,,2,3
GEAP18040,5,0,1971,G. S. MELKOTE,Andhra_Pradesh,HYDERABAD,TPS,INC,134941,M,1,3,3,TRUE,TRUE,57.27,49412,20.97,,3,3
GEAP18040,4,0,1967,G. S. MELKOTE,Andhra_Pradesh,HYDERABAD,INC,INC,115709,M,1,3,3,FALSE,TRUE,45.23,45585,17.82,,3,3
GEAP18040,3,0,1962,GOPAL S. MELKOTE,Andhra_Pradesh,HYDRABAD,INC,"",96447,M,1,3,3,FALSE,FALSE,56.19,43069,25.09,,3,3
GEAP18051,5,0,1971,A. R. DEVRAJ,Andhra_Pradesh,SIDDIPET,CPI,CPI,79851,M,2,2,0,FALSE,FALSE,30.67,68780,26.42,,,2
GEAP18051,4,0,1967,A. R. DEVRAJ,Andhra_Pradesh,SIDDIPET,CPI,"",63443,M,2,2,0,FALSE,FALSE,20.48,3995,1.29,,,2
GEAP18066,5,0,1971,P. GANGA REDDY,Andhra_Pradesh,ADILABAD,INC,INC,151482,M,1,2,2,FALSE,TRUE,52.6,14950,5.19,,2,2
GEAP18066,4,0,1967,P.G. REDDY,Andhra_Pradesh,ADILABAD,INC,"",160494,M,1,2,2,FALSE,FALSE,59.52,74250,27.53,,2,2
GEAP18134,5,0,1971,N. G. RANGA,Andhra_Pradesh,SRIKAKULAM,SWA,SWA,95710,M,2,3,1,FALSE,TRUE,28.52,88974,26.51,,1,2
GEAP18134,4,1,1967,G.RANGA,Andhra_Pradesh,SRIKAKULAM,SWA,SWA,173556,M,1,3,1,FALSE,FALSE,58.94,52644,17.88,,1,2
GEAP18134,4,0,1967,N.G. RANGA,Andhra_Pradesh,CHITTOOR,SWA,"",158931,M,2,3,1,FALSE,FALSE,46,0,0,,1,2
GEAP18135,5,0,1971,PARTHASARATHI POTHURAJU,Andhra_Pradesh,RAJAMPET,INC,INC,243603,M,1,2,2,FALSE,TRUE,72.97,177868,53.28,,2,2
GEAP18135,4,0,1967,P. PARTHASARATHY,Andhra_Pradesh,RAJAMPET,INC,"",189874,M,1,2,2,FALSE,FALSE,52.62,66549,18.44,,2,2
GEAP18217,5,0,1971,KOMMAREDDI SURYANARAYANA,Andhra_Pradesh,ELURU,INC,INC,235933,M,1,2,2,FALSE,TRUE,66.31,175055,49.2,,2,2
GEAP18217,4,0,1967,K. SURYANARAYAN,Andhra_Pradesh,ELURU,INC,"",163360,M,1,2,2,FALSE,FALSE,41.83,1953,0.5,,2,2
GEAP18225,5,0,1971,K. L. RAO,Andhra_Pradesh,VIJAYAWADA,INC,INC,251917,M,1,3,3,FALSE,TRUE,69.88,156004,43.27,,3,3
GEAP18225,4,0,1967,K.L. RAO,Andhra_Pradesh,VIJAYAWADA,INC,INC,0,M,1,3,3,FALSE,TRUE,,0,,,3,3
GEAP18225,3,0,1962,K.L.RAO,Andhra_Pradesh,VIJAYWADA,INC,"",177794,M,1,3,3,FALSE,FALSE,50.97,22983,6.59,,3,3
GEAP18368,5,0,1971,MADDI SUDARSANAM,Andhra_Pradesh,NARASARAOPET,INC,INC,237264,M,1,2,2,FALSE,TRUE,64.84,130851,35.76,,2,2
GEAP18368,4,0,1967,M. SUDARSANAM,Andhra_Pradesh,NARASARAOPET,INC,"",185963,M,1,2,2,FALSE,FALSE,46.6,64431,16.14,,2,2
GEAP20319,5,0,1971,P. V. N. RAJU,Andhra_Pradesh,KAKINADA,BJS,"",20134,M,2,1,0,FALSE,FALSE,5.63,700,0.2,,,1
GEAP20322,5,0,1971,M. S. SANJEEVI RAO,Andhra_Pradesh,KAKINADA,INC,"",313060,M,1,1,1,FALSE,FALSE,87.47,292926,81.84,,1,1
GEAP20324,5,0,1971,PRABHAKARA CHOWDARY CHITTURI,Andhra_Pradesh,RAJAHMUNDRY,CPI,"",53642,M,2,1,0,FALSE,FALSE,13.85,4947,1.28,,,1
GEAP20328,5,0,1971,S. B. P. PATTABHI RAMARAO,Andhra_Pradesh,RAJAHMUNDRY,INC,"",250124,M,1,1,1,FALSE,FALSE,64.59,196482,50.74,,1,1
GEAP20350,5,0,1971,DODDAV ARAPUKAMAKSHIAH,Andhra_Pradesh,NELLORE,INC,"",235658,M,1,1,1,FALSE,FALSE,66.18,173934,48.85,,1,1
GEAP20354,5,0,1971,SWARNA VEMAYYA,Andhra_Pradesh,NELLORE,CPI,"",34266,M,3,1,0,FALSE,FALSE,9.62,25462,7.15,,,1
GEAP20355,5,0,1971,BANGAPULAKSHMAN,Andhra_Pradesh,NELLORE,BJS,"",61724,M,2,1,0,FALSE,FALSE,17.33,27458,7.71,,,1
GEAP20369,5,0,1971,YEERAM CHINA NARASIMHARAO,Andhra_Pradesh,NARASARAOPET,IND,"",106413,M,2,1,0,FALSE,FALSE,29.08,97817,26.73,,,1
GEAP20375,5,0,1971,PULI VENKATA REDDY,Andhra_Pradesh,KAVALI,INC,"",196492,M,1,1,1,FALSE,FALSE,59.8,131114,39.91,,1,1
GEAP20376,5,0,1971,REBALA DASARATHA RAMA REDDY,Andhra_Pradesh,KAVALI,NCO,"",65378,M,2,1,0,FALSE,FALSE,19.9,16293,4.96,,,1
GEAP20384,5,0,1971,BALAKRISHNAIAH THAMBURU,Andhra_Pradesh,TIRUPATHI,INC,"",231262,M,1,1,1,FALSE,FALSE,75.08,154509,50.16,,1,1
GEAP20386,5,0,1971,P. NARASIMHA REDDY,Andhra_Pradesh,CHITTOOR,INC,"",245052,M,1,1,1,FALSE,FALSE,67.81,128739,35.63,,1,1
GEAP20387,5,0,1971,K. P. CHENGALRAYA NAIDU,Andhra_Pradesh,CHITTOOR,NCO,"",116313,M,2,1,0,FALSE,FALSE,32.19,0,0,,,1
GEAP20424,5,0,1971,P. VANI RAMANA RAO,Andhra_Pradesh,BHADRACHALAM,NCO,"",8544,F,5,1,0,FALSE,FALSE,4.34,1455,0.74,,,1
GEAP20428,5,0,1971,NUPA BOJJI,Andhra_Pradesh,BHADRACHALAM,CPI,"",47319,M,2,1,0,FALSE,FALSE,24.01,37869,19.22,,,1
GEAP20533,5,0,1971,RAJAGOPALARAO BODEPALLI,Andhra_Pradesh,SRIKAKULAM,INC,INC,233171,M,1,2,2,FALSE,FALSE,69.48,137461,40.96,,2,2
GEAP20533,3,0,1962,BODDIPALLI RAJAGOPALA ROW,Andhra_Pradesh,SRIKAKULAM,INC,"",112172,M,1,2,2,FALSE,FALSE,42.6,31815,12.08,,2,2
GEAP20534,5,0,1971,BIDDIKI LAKSHMINARAYANA,Andhra_Pradesh,PARAVATHIPURAM,CPI,"",28877,M,3,1,0,FALSE,FALSE,11.16,0,0,,,1
GEAP20535,5,0,1971,BIDDIKA SATYANNARAYANA,Andhra_Pradesh,PARAVATHIPURAM,INC,INC,190975,M,1,3,2,FALSE,FALSE,73.82,152128,58.81,,2,3
GEAP20535,4,0,1967,B. SATYANARAYANA,Andhra_Pradesh,PARVATHIPURAM,INC,INC,125429,M,2,3,2,FALSE,TRUE,43.79,0,0,,2,3
GEAP20535,3,0,1962,BIDDIKA SATYANARAYANA,Andhra_Pradesh,PARVATHIPURAM,INC,"",131625,M,1,3,2,FALSE,FALSE,58.79,39372,17.59,,2,3
GEAP20536,5,0,1971,NARASIMHARO VISWASARAI,Andhra_Pradesh,PARAVATHIPURAM,SWA,"",38847,M,2,1,0,FALSE,FALSE,15.02,9970,3.85,,,1
GEAP20537,5,0,1971,ROUTHU CHANDRASEKHARA RAO,Andhra_Pradesh,BOBBILI,SWA,"",40874,M,2,1,0,FALSE,FALSE,15.49,0,0,,,1
GEAP20539,5,0,1971,P. V. G. RAJU,Andhra_Pradesh,VISAKHAPATNAM,IND,"",184464,M,1,1,1,FALSE,FALSE,57.63,67188,20.99,,1,1
GEAP20569,5,0,1971,PENUMALA GOPALAKRISHNA,Andhra_Pradesh,AMALAPURAM,NCO,"",43846,M,2,1,0,FALSE,FALSE,11.95,22100,6.02,,,1
GEAP20573,5,0,1971,M. T. RAJU,Andhra_Pradesh,NARASAPUR,INC,"",285356,M,1,1,1,FALSE,FALSE,72.6,192755,49.04,,1,1
GEAP20578,5,0,1971,V. V. G. TILAK,Andhra_Pradesh,ELURU,CPI,"",60878,M,2,1,0,FALSE,FALSE,17.11,23106,6.49,,,1
GEAP20585,5,0,1971,H. R. SAYOJI RA,Andhra_Pradesh,GUDIVADA,SWA,"",68791,M,2,1,0,FALSE,FALSE,17.47,29230,7.42,,,1
GEAP20586,5,0,1971,SUBBA RAO MANIKONDA,Andhra_Pradesh,GUDIVADA,CPM,"",39561,M,3,1,0,FALSE,FALSE,10.05,33334,8.46,,,1
GEAP20589,5,0,1971,NADENDLA SATYANARAYANA,Andhra_Pradesh,VIJAYAWADA,NCO,"",4393,M,4,1,0,FALSE,FALSE,1.22,0,0,,,1
GEAP20590,5,0,1971,D. NAGABHUSHANA RAO,Andhra_Pradesh,VIJAYAWADA,CPI,"",95913,M,2,1,0,FALSE,FALSE,26.61,87633,24.31,,,1
GEAP20595,5,0,1971,MEDURI NAGESWARRAO,Andhra_Pradesh,MACHILIPATNAM,INC,"",278514,M,1,1,1,FALSE,FALSE,75.39,204874,55.46,,1,1
GEAP20596,5,0,1971,VENKATASWAMY MANDALA,Andhra_Pradesh,MACHILIPATNAM,SWA,"",73640,M,2,1,0,FALSE,FALSE,19.93,63744,17.25,,,1
GEAP20599,5,0,1971,GOGINENI BHARATI DEVI,Andhra_Pradesh,ONGOLE,SWA,"",104703,F,2,1,0,FALSE,FALSE,26.08,94216,23.47,,,1
GEAP20603,5,0,1971,VEMULAPALLI SRIKRISHNA,Andhra_Pradesh,GUNTUR,CPI,"",47428,M,3,1,0,FALSE,FALSE,11.39,18088,4.34,,,1
GEAP20604,5,0,1971,MOTURI HANUMANTHA RAO,Andhra_Pradesh,GUNTUR,CPM,"",29340,M,4,1,0,FALSE,FALSE,7.05,24727,5.94,,,1
GEAP20609,5,0,1971,JUPUDI YAGNA NARAYANA,Andhra_Pradesh,GUNTUR,BJS,"",69068,M,2,1,0,FALSE,FALSE,16.59,21640,5.2,,,1
GEAP20653,5,0,1971,P. BAYAPA REDDY,Andhra_Pradesh,HINDUPUR,INC,"",198127,M,1,1,1,FALSE,FALSE,69.65,124010,43.59,,1,1
GEAP20656,5,0,1971,P. RAVINDRA REDDY,Andhra_Pradesh,HINDUPUR,NCO,"",74117,M,2,1,0,FALSE,FALSE,26.05,68912,24.22,,,1
GEAP20713,5,0,1971,MURLI MANOHAR REDDY (GADDAM),Andhra_Pradesh,NIZAMABAD,BJS,"",21491,M,3,1,0,FALSE,FALSE,7.16,3477,1.16,,,1
GEAP20714,5,0,1971,ANANTH REDDY K.,Andhra_Pradesh,NIZAMABAD,TPS,"",95586,M,2,1,0,FALSE,FALSE,31.83,74095,24.68,,,1
GEAP20715,5,0,1971,RAM GOPAL REDDY M.,Andhra_Pradesh,NIZAMABAD,INC,"",155323,M,1,1,1,FALSE,FALSE,51.73,59737,19.89,,1,1
GEAP20717,5,0,1971,K. V. KISHAN RAO,Andhra_Pradesh,ADILABAD,TPS,"",136532,M,2,1,0,FALSE,FALSE,47.4,0,0,,,1
GEAP20721,5,0,1971,ELUGANDALA DURGAIAH,Andhra_Pradesh,PEDDAPALLI,SSP,"",13030,M,3,1,0,FALSE,FALSE,5.25,3342,1.35,,,1
GEAP20723,5,0,1971,V. JALAPATHI RAO,Andhra_Pradesh,KARIMNAGAR,INC,"",109848,M,2,1,0,FALSE,FALSE,43.25,92507,36.42,,,1
GEAP20725,5,0,1971,M. SATYANARAYAN RAO,Andhra_Pradesh,KARIMNAGAR,TPS,"",119869,M,1,1,1,FALSE,FALSE,47.19,10021,3.95,,1,1
GEAP20728,5,0,1971,K. SUDARSANA REDDY,Andhra_Pradesh,WARANGAL,INC,"",88618,M,2,1,0,FALSE,FALSE,27.04,55479,16.93,,,1
GEAP20729,5,0,1971,BHANDARU SADASHIVA RAO,Andhra_Pradesh,WARANGAL,BJS,"",33139,M,3,1,0,FALSE,FALSE,10.11,19149,5.84,,,1
GEAP20731,5,0,1971,S. B. GIRI,Andhra_Pradesh,WARANGAL,TPS,"",182258,M,1,1,1,FALSE,FALSE,55.62,93640,28.58,,1,1
GEAP20732,5,0,1971,MANCHIKANTI RAM KISHAN RAO,Andhra_Pradesh,KHAMMAM,CPM,"",92012,M,3,1,0,FALSE,FALSE,24.66,79679,21.36,,,1
