pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
AEKA1134,11,0,1996,QAMARUL ISLAM,Karnataka,GULBARGA,JD,"",203521,M,1,1,1,FALSE,FALSE,35.9,15545,2.74,,1,1
AEKA11758,11,0,1996,G MADEGOWDA,Karnataka,MANDYA,INC,INC,302466,M,2,3,2,FALSE,TRUE,41.4,231643,31.7,,2,3
AEKA11758,10,0,1991,G. MADEGOWDA,Karnataka,MANDYA,INC,INC,259500,M,1,3,2,FALSE,TRUE,42.48,95347,15.61,,2,3
AEKA11758,9,0,1989,G.MADE GOWDA,Karnataka,MANDYA,INC,"",337024,M,1,3,2,FALSE,FALSE,47.72,74889,10.6,,2,3
AEKA11867,11,0,1996,THONTADARYA,Karnataka,MYSORE,BJP,BJP,162630,M,3,2,0,FALSE,FALSE,21.93,114334,15.41,,,2
AEKA11867,9,0,1989,THONTADARYA,Karnataka,MYSORE,BJP,"",25398,M,4,2,0,FALSE,FALSE,3.67,18385,2.66,,,2
AEKA11963,11,0,1996,V DHANANJAYA KUMAR,Karnataka,MANGALORE,BJP,BJP,250765,M,1,3,2,FALSE,TRUE,36.72,14499,2.12,,2,3
AEKA11963,10,0,1991,V. DHANANJAYA KUMAR,Karnataka,MANGALORE,BJP,BJP,274700,M,1,3,2,FALSE,FALSE,49.81,35005,6.35,,2,3
AEKA11963,9,0,1989,V.DHANAJAYA KUMAR,Karnataka,MANGALORE,BJP,"",184575,M,2,3,2,FALSE,FALSE,29.53,51042,8.17,,2,3
AEKA12069,11,0,1996,RAMA NARAYAN NAIK,Karnataka,KANARA,INC,"",88609,M,3,1,0,FALSE,FALSE,13.76,44915,6.98,,,1
AEKA1296,11,0,1996,A VENKATESH NAIK,Karnataka,RAICHUR,INC,INC,178515,M,2,2,1,FALSE,TRUE,37.13,106022,22.05,,1,2
AEKA1296,10,0,1991,VENKATESH NAIK,Karnataka,RAICHUR,INC,"",194709,M,1,2,1,FALSE,FALSE,51.66,122458,32.49,,1,2
AEKA13365,11,0,1996,K G SHIVAPPA,Karnataka,SHIMOGA,INC,INC,66145,M,4,2,1,FALSE,TRUE,9.19,61611,8.56,,1,2
AEKA13365,10,0,1991,K.G. SHIVAPPA,Karnataka,SHIMOGA,INC,"",281182,M,1,2,1,FALSE,FALSE,45.91,40703,6.65,,1,2
AEKA14325,11,0,1996,D K NAIKAR,Karnataka,DHARWAD NORTH,INC,INC,149768,M,3,5,4,FALSE,TRUE,25.64,146665,25.11,,4,5
AEKA14325,10,0,1991,D.K. NAIKAR,Karnataka,DHARWAD NORTH,INC,INC,157682,M,1,5,4,FALSE,TRUE,33.26,21791,4.6,,4,5
AEKA14325,9,0,1989,D.K.NAIKAR,Karnataka,DHARWAD NORTH,INC,INC,276545,M,1,5,4,FALSE,TRUE,45.61,55548,9.16,,4,5
AEKA14325,8,0,1984,NAIKAR DYAMAPPA KALLAPPA,Karnataka,DHARWAD NORTH,INC,INC(I),229865,M,1,5,4,FALSE,TRUE,52.31,44851,10.21,,4,5
AEKA14325,7,0,1980,D.K. NAIKAR,Karnataka,DHARWAD NORTH,INC(I),"",208269,M,1,5,4,FALSE,FALSE,58.19,96694,27.01,,4,5
AEKA30009,11,0,1996,BASAVARAJ RAYA REDDY,Karnataka,KOPPAL,JD,"",276914,M,1,1,1,FALSE,FALSE,45.86,75841,12.56,,1,1
AEKA3144,11,0,1996,KRISHNA,Karnataka,MANDYA,JD,"",335852,M,1,1,1,FALSE,FALSE,45.97,33386,4.57,,1,1
AEKA3172,11,0,1996,Y N RUDRESHAGOWDA,Karnataka,HASSAN,JD,"",313241,M,1,1,1,FALSE,FALSE,41.35,80787,10.66,,1,1
AEKA3231,11,0,1996,K VASANTHA BANGERA,Karnataka,UDUPI,JD,"",147293,M,3,1,0,FALSE,FALSE,23.32,143760,22.76,,,1
AEKA3303,11,0,1996,B A JIVIJAYA,Karnataka,MANGALORE,JD,"",180889,M,3,1,0,FALSE,FALSE,26.49,176571,25.85,,,1
AEKA3374,11,0,1996,G T DEVE GOWDA,Karnataka,MYSORE,JD,"",246623,M,2,1,0,FALSE,FALSE,33.25,83993,11.32,,,1
AEKA4150,11,0,1996,PRAMOD HEGDE,Karnataka,KANARA,JD,"",220415,M,2,1,0,FALSE,FALSE,34.24,131806,20.47,,,1
AEKA4406,11,0,1996,AYANUR MANJUNATHA,Karnataka,SHIMOGA,BJP,"",230916,M,2,1,0,FALSE,FALSE,32.08,129926,18.05,,,1
AEKA4426,11,0,1996,S BANGARAPPA,Karnataka,SHIMOGA,KCP,"",303152,M,1,1,1,FALSE,FALSE,42.12,72236,10.04,,1,1
AEKA5082,11,0,1996,K H HANUMEGOWDA,Karnataka,HASSAN,BJP,"",186338,M,3,1,0,FALSE,FALSE,24.6,181758,23.99,,,1
AEKA5501,11,0,1996,G SHANKAR GOUD,Karnataka,KOPPAL,BJP,"",109309,M,3,1,0,FALSE,FALSE,18.1,106000,17.55,,,1
AEKA596,11,0,1996,C N BHASKARAPPA,Karnataka,TUMKUR,JD,"",192228,M,1,1,1,FALSE,FALSE,28.6,15712,2.34,,1,1
AEKA6476,11,0,1996,BABAGOUDA PATIL,Karnataka,BELGAUM,BJP,"",153842,M,2,1,0,FALSE,FALSE,23.99,58922,9.19,,,1
AEKA6869,11,0,1996,Y K RAMAIAH,Karnataka,TUMKUR,SP,IND,127161,M,4,3,0,FALSE,FALSE,18.92,123561,18.38,,,3
AEKA6869,10,0,1991,Y.K. RAMAIAH,Karnataka,TUMKUR,IND,JNP,3403,M,5,3,0,FALSE,FALSE,0.58,598,0.1,,,3
AEKA6869,8,0,1984,Y. K. RAMAIAH,Karnataka,TUMKUR,JNP,"",234839,M,2,3,0,FALSE,FALSE,45.15,225147,43.29,,,3
AEKA7793,11,0,1996,INDUSHEKAR SANGANKAL,Karnataka,BELLARY,BJP,"",43286,M,3,1,0,FALSE,FALSE,6.94,26650,4.27,,,1
AEKA8129,11,0,1996,V HANUMAPPA,Karnataka,KOLAR,BJP,BJP,84558,M,3,2,0,FALSE,FALSE,12.09,79802,11.41,,,2
AEKA8129,10,0,1991,V. HANUMAPPA,Karnataka,KOLAR,BJP,"",173525,M,2,2,0,FALSE,FALSE,29.53,21368,3.64,,,2
